city,region,pre_lockdown_r2,during_lockdown_inter_r2,during_lockdown_self_r2,after_easing_inter_r2,after_easing_self_r2,pre_n_active_cities,during_n_active_cities,after_n_active_cities
Milano,North,0.8445,0.5221,0.3932,0.9178,0.9264,2,2,1
Bergamo,North,0.8044,0.5204,0.6871,0.8269,0.7169,2,1,2
Brescia,North,0.9801,0.6979,0.7666,0.8949,0.8335,6,1,5
Monza_E_Della_Brianza,North,0.9641,0.503,0.3743,0.9057,0.8688,1,3,1
Como,North,0.92,0.2338,0.4108,0.827,0.7487,2,2,2
Roma,Center,0.7673,0.6968,0.6595,0.8873,0.8436,1,3,2
Firenze,Center,0.9269,0.4993,0.3448,0.9057,0.9281,5,2,1
Perugia,Center,0.4977,0.7387,0.8171,0.9178,0.8759,1,2,1
Latina,Center,0.9671,0.4673,0.0539,0.4113,0.1455,1,3,2
Frosinone,Center,0.8137,0.541,0.4232,0.5763,0.4574,3,2,2
Napoli,South,0.7341,0.4426,0.5145,0.8693,0.8616,2,1,1
Caserta,South,1.0,0.6029,0.4188,0.8407,0.8157,1,2,1
Salerno,South,1.0,0.4697,0.4438,0.7937,0.7569,1,2,2
Bari,South,0.5326,0.5901,0.4968,0.7734,0.8337,4,2,1
Taranto,South,0.0513,0.4203,0.4652,0.8085,0.7699,3,1,2
