city,region,population,total_cases,infection_rate_pct,mean_beta,mean_R0,fit_error
Milano,North,3250000,174013.0,5.354246153846153,0.0854,1.22,0.00013819
Roma,Center,4350000,117378.0,2.6983448275862068,0.092,1.31,6.866e-05
Napoli,South,3100000,115468.0,3.724774193548387,0.0882,1.26,0.00017978
Monza_E_Della_Brianza,North,875000,48239.0,5.513028571428571,0.0885,1.26,0.00010123
Brescia,North,1265000,41960.0,3.31699604743083,0.0832,1.19,4.06e-05
Bari,South,1250000,35127.0,2.81016,0.095,1.36,2.956e-05
Caserta,South,925000,34733.0,3.7549189189189187,0.0939,1.34,9.315e-05
Como,North,600000,33896.0,5.649333333333333,0.0906,1.29,7.727e-05
Firenze,Center,1010000,33537.0,3.3204950495049506,0.0862,1.23,9.872e-05
Bergamo,North,1115000,28253.0,2.53390134529148,0.0753,1.08,8.648e-05
Salerno,South,1080000,25738.0,2.3831481481481482,0.0954,1.36,8.563e-05
Perugia,Center,655000,21063.0,3.2157251908396947,0.0903,1.29,6.051e-05
Latina,Center,575000,14463.0,2.515304347826087,0.0956,1.37,0.00010104
Frosinone,Center,475000,13777.0,2.900421052631579,0.0947,1.35,0.00022547
Taranto,South,560000,11115.0,1.9848214285714285,0.0876,1.25,3.364e-05
