,milano,roma,napoli,torino,palermo,genova,bologna,firenze,bari,catania
milano,1.0,0.995440633843406,0.9881879385974675,0.9898770126695191,0.9276900734830799,0.9603164936286527,0.9729929729825584,0.9539811586287303,0.9133842350465092,0.8539375650591532
roma,0.995440633843406,1.0,0.9979326164804861,0.9987993552452489,0.9577242885840299,0.981833062265026,0.9901457469527093,0.9774754956747277,0.9461333785099122,0.8947223610415567
napoli,0.9881879385974675,0.9979326164804861,1.0,0.9993982978460497,0.9713131127359759,0.9904487726780404,0.9958891247750383,0.9869132997606389,0.9617406880459954,0.9172862856192991
torino,0.9898770126695191,0.9987993552452489,0.9993982978460497,1.0,0.9698874059349294,0.9896071130997044,0.9955010046977896,0.9861662665058641,0.9597777917180711,0.9129361488813109
palermo,0.9276900734830799,0.9577242885840299,0.9713131127359759,0.9698874059349294,1.0,0.9943339807340887,0.9882787244636988,0.9962462338067455,0.9984844048003007,0.9806905952382654
genova,0.9603164936286527,0.981833062265026,0.9904487726780404,0.9896071130997044,0.9943339807340887,1.0,0.9986436643311167,0.9994593526360411,0.9897672422159691,0.9603595910664328
bologna,0.9729929729825584,0.9901457469527093,0.9958891247750383,0.9955010046977896,0.9882787244636988,0.9986436643311167,1.0,0.9972608722615965,0.9818642384227102,0.9463505141030157
firenze,0.9539811586287303,0.9774754956747277,0.9869132997606389,0.9861662665058641,0.9962462338067455,0.9994593526360411,0.9972608722615965,1.0,0.9925117386505946,0.9649926919036567
bari,0.9133842350465092,0.9461333785099122,0.9617406880459954,0.9597777917180711,0.9984844048003007,0.9897672422159691,0.9818642384227102,0.9925117386505946,1.0,0.9885895585555403
catania,0.8539375650591532,0.8947223610415567,0.9172862856192991,0.9129361488813109,0.9806905952382654,0.9603595910664328,0.9463505141030157,0.9649926919036567,0.9885895585555403,1.0
